epoch,accuracy,loss,val_accuracy,val_loss
0,0.5513328313827515,1.13356614112854,0.6246698498725891,1.0070929527282715
1,0.5874861478805542,1.0730398893356323,0.6441317200660706,0.990139901638031
2,0.6003297567367554,1.0505242347717285,0.6493366956710815,0.956026554107666
3,0.6081769466400146,1.0358866453170776,0.640180766582489,0.9532171487808228
4,0.6140902638435364,1.0248358249664307,0.6552019715309143,0.9339574575424194
5,0.6187245845794678,1.0172430276870728,0.6431189775466919,0.9451470971107483
6,0.6233781576156616,1.0083714723587036,0.6486874222755432,0.9280040264129639
7,0.6277390122413635,0.9995801448822021,0.6249851584434509,0.9479429721832275
8,0.6295842528343201,0.9968888759613037,0.677316427230835,0.889069139957428
9,0.632716178894043,0.9908719062805176,0.6214867830276489,0.9458862543106079
10,0.6346539258956909,0.9884840250015259,0.6862720251083374,0.8772678971290588
11,0.6348927617073059,0.9841867089271545,0.682347297668457,0.886020302772522
12,0.6382596492767334,0.9790753126144409,0.6619353890419006,0.9015547037124634
13,0.6405864953994751,0.9770429134368896,0.6626810431480408,0.899604856967926
14,0.639477014541626,0.9754236340522766,0.6565672159194946,0.89767986536026
15,0.6396850347518921,0.9743587374687195,0.6724676489830017,0.8901054859161377
16,0.6423777937889099,0.970832884311676,0.6512546539306641,0.8996551036834717
17,0.6433485746383667,0.9687545299530029,0.6637939810752869,0.8910222053527832
18,0.64405357837677,0.9665018320083618,0.6532654166221619,0.9041125178337097
19,0.6443617343902588,0.9658994078636169,0.6842687129974365,0.8690117001533508
0,0.548805832862854,1.1361578702926636,0.6310244798660278,1.0240823030471802
1,0.5880562663078308,1.074716567993164,0.6280235648155212,0.9851704239845276
2,0.6004183888435364,1.051837682723999,0.6470773816108704,0.967246949672699
3,0.6068247556686401,1.0386618375778198,0.6393200755119324,0.9500465393066406
4,0.6150879859924316,1.0267242193222046,0.6673183441162109,0.9207282662391663
5,0.6198610067367554,1.0117673873901367,0.636845588684082,0.950107991695404
0,0.6285516023635864,0.9988893270492554,0.6431809663772583,0.9261133074760437
1,0.6313486099243164,0.992487907409668,0.6571459174156189,0.9122650027275085
2,0.6330397725105286,0.9888349175453186,0.607808530330658,0.9653487801551819
3,0.6355515122413635,0.9845731258392334,0.6568565368652344,0.9058346152305603
4,0.6374545693397522,0.9814836382865906,0.6610709428787231,0.9017448425292969
5,0.6389915943145752,0.9791007041931152,0.6493982672691345,0.9098579287528992
6,0.6397505402565002,0.9761971831321716,0.6328611969947815,0.947721004486084
7,0.6401395797729492,0.9736250638961792,0.6416943669319153,0.9209783673286438
8,0.6420773267745972,0.9715266227722168,0.6727347373962402,0.8856392502784729
9,0.6424162983894348,0.9702067375183105,0.6556397080421448,0.9025068283081055
10,0.6426551938056946,0.9687005281448364,0.660484790802002,0.9014537930488586
11,0.6436028480529785,0.9669061303138733,0.6723266839981079,0.8901511430740356
12,0.6435643434524536,0.968414843082428,0.6698485016822815,0.8867034912109375
13,0.6444272398948669,0.9670462012290955,0.6835564374923706,0.8681850433349609
14,0.6449010968208313,0.9657407402992249,0.678058385848999,0.8801416754722595
15,0.6447315812110901,0.962431013584137,0.6718295812606812,0.8802077174186707
16,0.6445851922035217,0.9639687538146973,0.6374984979629517,0.9190788865089417
17,0.6452708840370178,0.9629904627799988,0.6445794701576233,0.9130871295928955
18,0.648348867893219,0.9602770805358887,0.677316427230835,0.8758096694946289
19,0.6464959383010864,0.9617275595664978,0.6688876152038574,0.8818029761314392
